candidate_id,candidate_label,platform,year_week,week_start,er_median,z_score,z_global,z_rolling,anomaly_type,volume,top_post_text,top_post_engagement
pierre_yves_bournazel,P-Y. Bournazel (Horizons),twitter,2025-W20,2025-05-15,0.002222,2.2,-0.38,2.2,pic_significatif,8,"Édouard Philippe nous dévoile son plan et sa stratégie pour 2027, entre calme olympien et piques envoyées à ses rivaux politiques. Le favori des sondages trace sa route, impassible face aux remous de  | La Gaîté Lyrique est un pilier de la culture parisienne. Aujourd’hui, elle est abandonnée par les pouvoirs publics.
C’est inacceptable. Pour la culture, les salarié·es, le quartier, pour #Paris : la V | Avec et pour @EPhilippe_LH ! Fier d’être à ses côtés ! Son discours pour vous convaincre : horizonsleparti.fr/discours-…",2250
pierre_yves_bournazel,P-Y. Bournazel (Horizons),twitter,2025-W32,2025-08-07,0.007694,3.46,3.46,2.41,pic_viral,1,✅ Le Conseil constitutionnel valide la réforme du mode de scrutin à #Paris. Je me suis battu pour cette réforme depuis des années lemonde.fr/idees/article/202… C’est un progrès démocratique majeur : c,277
pierre_yves_bournazel,P-Y. Bournazel (Horizons),twitter,2025-W44,2025-10-28,0.004514,2.34,1.23,2.34,pic_significatif,14,"Merci à @GabrielAttal, aux élus, cadres, adhérents et militants de @Renaissance pour leur confiance. Ensemble, nous porterons la dynamique du rassemblement et du changement positif à Paris. L’apaiseme | Tous derrière Pierre-Yves Bournazel ! | Paris a besoin d'une alternance.
Avec Pierre-Yves Bournazel, nous faisons le choix de l'apaisement et du renouvellement. Retrouvez l'interview de @franckriester dans les Échos ➡️ lesechos.fr/elections",1402
pierre_yves_bournazel,P-Y. Bournazel (Horizons),twitter,2025-W45,2025-11-03,0.006167,2.39,2.39,2.06,pic_significatif,15,"Pour que la France reparte et renoue avec la croissance, @EPhilippe_LH proposera aux Français une nouvelle politique économique de prospérité. Elle commencera par un deal fiscal d’une ampleur inédite  | Paris est la capitale mondiale de la mode, elle ne peut pas devenir la vitrine du modèle antiéthique SHEIN ! Un vêtement à 5 € c'est une conscience à zéro :
travail précaire, pollution massive, gaspil | Avec @GabrielAttal dans mon cher XVIIIe ! Merci cher Gabriel de ton précieux soutien. Merci aux Parisiennes et aux Parisiens de leur soutien, de leur engagement et de leurs idées pour préparer l",4207
pierre_yves_bournazel,P-Y. Bournazel (Horizons),twitter,2026-W03,2026-01-12,0.003528,-2.01,0.53,-2.01,creux_significatif,20,"J’apprends par la presse dominicale que Mme Dati refuserait de participer aux débats organisés par les chaînes de télévision pour l’élection municipale à Paris. Pour ma part, je ne conçois pas que l’o | Réponse très claire à @Knafo_Sarah qui parlait de moi ce matin sur @RTLFrance : jamais je ne m’allierai avec la candidate d’Eric Zemmour. Fidèle à l’enseignement du Président Chirac, jamais je ne m’al | POV : un mélenchoniste t'interpelle pendant le Congrès des VTC",1132
rachida_dati,R. Dati (LR),twitter,2025-W11,2025-03-16,0.00448,4.37,4.37,1.5,pic_viral,1,"Émilie Dequenne nous a quittés après s’être battue contre la maladie. Revélée dans Rosetta des frères Dardenne, ce rôle émouvant lui vaut d’être récompensée à Cannes à 17 ans. Nommée 5 fois aux César,",2231
rachida_dati,R. Dati (LR),twitter,2025-W22,2025-05-26,0.001837,2.14,1.15,2.14,pic_significatif,16,"💙❤️💙
« Apres tant d’années de galères et de combats… » à Munich, cette nuit est rouge et bleu, aux couleurs de #Paris !
Bravo à toute l’équipe du @PSG_inside ! Champions d’Europe ! @LUISENRIQUE21 @Ach | Le Macronisme existe, la preuve : on discute de sa postérité. Rares sont ceux qui peuvent en dire autant. Mais l’essentiel demeure d’être concentrés sur nos missions pour répondre aux attentes et beso | Tous ensemble derrière les joueurs du @psg_inside ! On va ramener la Coupe à la Maison ! #PSGINT 💙❤️ #IciCestParis",11085
rachida_dati,R. Dati (LR),twitter,2025-W31,2025-07-28,0.001013,2.22,0.14,2.22,pic_significatif,16,"La législative partielle dans la 2ᵉ circonscription de Paris est le combat d’un territoire que je sers depuis 15 ans et celui d’une capitale qu’il est temps de reconstruire avec ambition. Pour la prem | 🇲🇦 À l’occasion de la Fête du Trône, nous avons célébré à Paris l’intensité des liens qui unissent la France et le Maroc. Des liens qui reposent sur une histoire et une langue partagées, et une ambiti | En mars dernier, à plus de 2 500 m de profondeur au large de Ramatuelle, une mission de la @MarineNationale a révélé l’épave intacte d’un navire du XVIe siècle, chargée d'une importante cargaiso",6073
rachida_dati,R. Dati (LR),twitter,2025-W41,2025-10-07,0.002229,2.14,1.62,2.14,pic_significatif,13,"N'oublions jamais. | Dans le 18ᵉ, à la rencontre des habitants abandonnés du boulevard Ney !
Partout, le même constat : logements sociaux délabrés, insécurité, saleté, commerce illégal.
Je suis venue leur dire qu’avec moi | Depuis 25 ans Anne Hidalgo & Emmanuel Grégoire ont vidé les caisses de Paris au détriment des investissements dans les écoles avec des drames à la clé dans le périscolaire!
12Mds de dette pour un Pari",10834
rachida_dati,R. Dati (LR),twitter,2025-W52,2025-12-23,0.002654,2.14,2.14,2.11,pic_significatif,6,"3 femmes agressées au couteau dans le métro hier, le sacristain de La Madeleine molesté ce jour, par des individus sous OQTF. Mais la gauche à Paris demeure contre l’exécution des OQTF & s’oppose aux  | Noël arrive à Paris.
Le temps de se retrouver, de partager, de prendre le temps.
Un temps pour être ensemble et regarder l’avenir avec confiance.
Je souhaite à toutes les Parisiennes et à tous les Par | Soutien aux victimes, remerciements aux agents de la RATP & aux forces de l’ordre pour leur réactivité. Les Parisiens n’ont pas à subir l’insécurité au quotidien. Partout à #Paris, nous mettrons",7208
rachida_dati,R. Dati (LR),twitter,2026-W01,2025-12-29,0.003257,2.88,2.88,1.88,pic_significatif,5,"Nouveau viol dans l'aide sociale à l'enfance parisienne sans réaction de la Ville de Paris!
La majorité Hidalgo-Grégoire ne nous a toujours pas transmis le rapport d'inspection sur l'ASE dont nous avo | Chères Parisiennes, chers Parisiens, Je vous souhaite à toutes et à tous une très belle année 2026. À cette occasion, je prends un engagement: celui de changer votre vie. En mieux. Je vais changer Par | Pour une personne isolée, l'infirmière est le seul contact humain qu'ils auront dans la journée. Et le temps perdu dans les embouteillages, c'est du temps de relation perdu. Je simplifierai la v",6311
sarah_knafo,S. Knafo (Reconquête),twitter,2025-W13,2025-03-29,0.234907,3.72,3.72,2.47,pic_viral,1,Merci à la @CocardeEtud de m’accueillir aujourd’hui pour fêter ses dix ans !,173831
sarah_knafo,S. Knafo (Reconquête),twitter,2025-W15,2025-04-09,0.18002,2.71,2.71,1.21,pic_significatif,2,"Des professeurs chassés de leurs cours, des militants traqués sur les marchés, et maintenant des journalistes violentés à l’Assemblée nationale. Plus le réel nous donne raison, plus l’extrême gauche p | Soutien total aux journalistes de Frontières, en particulier à Louise Morice, honteusement agressée par des députés d’extrême gauche.",266429
sarah_knafo,S. Knafo (Reconquête),twitter,2025-W16,2025-04-14,0.167299,2.48,2.48,0.83,pic_significatif,4,"Cette nuit et ce matin, 10 384 nouveaux baptisés rejoignent la famille catholique. C'est une belle et grande nouvelle pour notre pays et notre civilisation. Joyeuses Pâques à tous ! | Il est lamentable pour la France que nous soyons dans le même débat sur l’Algérie depuis des mois. C’est un pays qui n’est fort que de notre faiblesse. Si nous ne réglons pas la question, c’est unique | On vole l’argent des Français pour le dilapider dans des folies. Le réel niveau d’imposition des gens, c’est le montant de la dépense publique. L’endettement n’est qu’un impôt différé. Nous devons sor",796132
sarah_knafo,S. Knafo (Reconquête),twitter,2025-W18,2025-04-30,0.163219,2.4,2.4,0.49,pic_significatif,17,"Vous, sur France Inter, quand des manifestations sont organisées contre l’«islamophobie », vous les célébrez. Mais quand Lola fut assassinée par une algérienne sous OQTF, vous avez dénoncé nos hommage | Pourquoi une minute de silence pour Nahel ou Aboubakar, mais pas pour Lola, Elias, Jerémie ou Thomas ? L'assassinat d'un innocent mérite toujours qu'on lui rende hommage. Il y a environ 1000 homicides | 🤯Sur France Inter on me demande si Bruno Retailleau est ""islamophobe et raciste"" car il se déplace pour le meurtre de Français mais pas pour un Malien... Dans ce cas, Jean-Luc Mélenchon est ""fra",1020699
sarah_knafo,S. Knafo (Reconquête),twitter,2025-W19,2025-05-05,0.16539,2.44,2.44,0.34,pic_significatif,14,"Cher Julien Dray, je suis solidaire des agriculteurs français qui se suicident, pendant qu’on donne 800 millions pour ""les PME agricoles éthiopiennes"". Je suis solidaire des Français qui attendent 8h  | Demandons aux Français, si au lieu de payer toujours plus d’impôts, ils préfèrent arrêter de payer : - 4 milliards d’euros pour l’audiovisuel public et les humoristes de France Inter - 7 milliards pou | 64% des Français estiment qu'il y a trop d'immigrés extra-européens sur notre sol. Manifestement, sur France Inter, vous faites partie de la minorité qui pense le contraire.",1355519
sarah_knafo,S. Knafo (Reconquête),twitter,2025-W22,2025-05-27,0.005741,-2.04,-0.49,-2.04,creux_significatif,6,"Nos ancêtres ont laissé Versailles, Notre-Dame, le Mont-Saint-Michel. Et nous ? Des zones commerciales et du béton. Dans 300 ans, qu’est-ce que nos descendants visiteront de nous ? Je veux faire de la | La mobilisation des Français a payé ! L’Assemblée nationale vote enfin la suppression des ZFE. Le combat contre ces mesures iniques continue. | Nous sommes aujourd’hui une colonie numérique des États-Unis. 92% de nos données sont stockées aux États-Unis. À cause d’Emmanuel Macron, même les données de santé de tous les Français sont chez Micro",25467
sarah_knafo,S. Knafo (Reconquête),twitter,2025-W29,2025-07-14,0.018116,2.25,-0.27,2.25,pic_significatif,10,"La bourgeoise, comme vous dites, a grandi en Seine-Saint-Denis, mais a travaillé dur pour réussir les concours que votre copine pistonnée n’a pas eus. C’est ce qui m’a permis d’entrer à la Cour des co | François Bayrou cherche désespérément comment économiser 40 milliards pour l'année qui vient. Je lui trouve 63 milliards à économiser tout de suite. C'est que François Bayrou cherche toujours dans les | 🚨François Bayrou annonce qu’il va augmenter les impôts et supprimer deux jours fériés. Résultat ? C’est vous qui passez à la caisse. Il vous demande de faire l’effort qu’il ne fait pas, ou si pe",100273
sophia_chikirou,S. Chikirou (LFI),twitter,2025-W19,2025-05-10,0.013136,2.25,1.66,2.25,pic_significatif,5,"Aujourd'hui dans Paris en dépit de l'invisibilisation, des milliers et des milliers contre l'islamophobie. | M. Wauquiez parle comme un lepéniste et agit comme un macroniste. Il est temps d'ouvrir une nouvelle ère. Il faut partager les richesses, il faut lutter contre les discriminations. Il faut que la Fran | 𝑬𝑵 𝑭𝑰𝑵𝑨𝑳𝑬 🔴🔵 🙌",20532
sophia_chikirou,S. Chikirou (LFI),twitter,2025-W30,2025-07-21,0.031246,5.63,5.63,2.43,pic_viral,15,"URGENT Toutes les communications internet avec le Handala ont été coupées. Nous avons perdu le contact avec Emma et l’équipage. Partagez et interpellez les autorités pour assurer la sécurité de l'équi | The Israeli military had a message to the Handala freedom flotilla. @huwaidaarraf had a message back to them, explaining international law and their rightful and just mission to deliver humanitarian a | Nous avons fait plus de la moitié du trajet vers Gaza où nous arriverons dimanche 🇵🇸 Gardez les yeux rivés sur le #Handala pour protégez la Flottille de la Liberté !",38560
sophia_chikirou,S. Chikirou (LFI),twitter,2025-W52,2025-12-22,0.012136,2.21,1.44,2.21,pic_significatif,10,"Un projet pour le champ de mars sans barbelés. Mieux que celui de Dati | La bûche de Noël, le croissant, le pain au chocolat, la baguette, le mille-feuilles, le fraisier... sont fabriqués et vendus dans les boulangeries algériennes aux côtés des makrouts, des baklawas, des | L'IFLOP (IFOP) sort un sondage de popularité : @JLMelenchon est la 1ère personnalité politique chez les sympathisants de gauche et la 3ème personnalité politique préférée de l'ensemble des sondés. Mai",8160
thierry_mariani,T. Mariani (RN),twitter,2025-W16,2025-04-14,0.022079,2.92,2.92,2.18,pic_significatif,1,"Heureusement… ⁦@jnbarrot⁩, notre Ministre des Affaires Étrangères était il y’a quelques jours à Alger et avait déclaré qu’il était optimiste sur le rétablissement de relations normales avec l’Algérie ",3930
thierry_mariani,T. Mariani (RN),twitter,2025-W33,2025-08-14,0.033396,4.84,4.84,2.45,pic_viral,6,"Charlotte Caubel vient d'être nommée par l'Elysée Procureur adjointe à Paris. Elle dirigera une des cinq divisions du Parquet le plus puissant de France. Elle avait été classée 16e sur 17 lorsque prop | Dis par un spécialiste qui n’a tenu aucun des engagements qu’il avait pris devant les Français pour se faire élire, c’est plutôt savoureux, n’est-ce-pas? 😂 | L’Union Européenne de Von Der Leyen est en train de déraper et représente désormais un vrai danger pour nos libertés. À vouloir tout réglementer sous prétexte de lutter contre la désinformation ou ""la",36441
thierry_mariani,T. Mariani (RN),twitter,2025-W40,2025-09-29,0.016876,2.04,2.04,0.78,pic_significatif,19,"Le choix de ce gouvernement à l’identique, assaisonné de l’homme qui a mis la France en faillite est pathétique. Les bras nous en tombent… | Nous l'avions dit clairement au Premier ministre : c'est la rupture, ou la censure. Le gouvernement annoncé ce soir, composé des derniers macronistes agrippés au radeau de la Méduse, a décidément tout | Après nous avoir raconté n’importe quoi pendant 3 jours (bateau espion,menace pour notre sécurité, etc…) le film à la James Bond s’achève par le départ du bateau avec tout son équipage Vous n’avez pas",32904
thierry_mariani,T. Mariani (RN),twitter,2025-W47,2025-11-17,0.017702,2.18,2.18,1.62,pic_significatif,13,"€135 billion. That's how much money the head of the Brusselian bureaucracy, President @vonderleyen, wants to scrape together for Ukraine. This is the price of prolonging the war. The President has one | Yours truly on Ukraine’s corruption pit: “The total amount of money pumped into Ukraine since 2022 is ~$360B. I estimate that corruption accounts for 15–30% of the total aid. That means $54B–$108B is  | Noël approche…et on connaît désormais le coût de cette nouvelle folie de l’UE pour l’Ukraine : 140 milliards dont 18% (soit 25 Milliards) seront à la charge des Français ! On n’a plus d’argent p",38806
david_belliard,D. Belliard (EELV),instagram,2025-W04,2025-01-23,0.02781,2.51,2.51,1.46,pic_significatif,2,"Je suis candidat à la Mairie de Paris. Pour cela, je me porte candidat à la primaire des écologistes de Paris. Je suis convaincu qu'il nous faut amplifier les grandes transformations que nous avons | Comment pouvons nous avoir à Paris, capitale de la 6e puissance économique du monde, autant de personnes, y compris des familles, des enfants, sans-abris ? Je trouve cela insupportable. Dénombrer l",762
david_belliard,D. Belliard (EELV),instagram,2025-W17,2025-04-21,0.02062,2.06,1.21,2.06,pic_significatif,6,"Papa(s). Entre 2018, date de notre premier rendez-vous pour l'adoption, et maintenant, il se sera passé sept ans. Sept ans d'un chemin tortueux, douloureux, fait d'essais, d'impasses, d'erreurs aussi, | 🎉🌈 12 ANS DU MARIAGE POUR TOUS ET TOUTES ! Le 23 avril 2013, l’amour gagnait une bataille historique 💍Les écologistes sont fier·es d’avoir été de celles et ceux qui ont porté cette avancée, depui | Paris est un exemple de transformation écologique urbaine et nous en sommes fier•es 🥹Avec de la volonté et du courage politique, nous pouvons transformer nos villes. C’est ce que les Écologis",2760
david_belliard,D. Belliard (EELV),instagram,2025-W47,2025-11-17,0.026058,2.37,2.19,2.37,pic_significatif,16,"Rues aux écoles, pistes cyclables, réduction de la place de la voiture… pendant 6 ans, à chaque fois que j’ai proposé des aménagements, Dati a dit non. Aujourd’hui, elle est obligée de retourner sa ve | L’heure n’est pas à la réduction des pistes cyclables !Aujourd’hui en Conseil de Paris, on a évidemment parlé de Rivoli. La droite veut diviser par deux la piste cyclable, alors que c’est une des  | Imagine tu fais des vidéos avec des gens qui dorment dans la rue et ensuite tu t’opposes à la transformation d’un bâtiment vide en logements sociaux. Nan je déconne. Mais imagine quand même",10564
david_belliard,D. Belliard (EELV),instagram,2025-W51,2025-12-15,0.026131,2.2,2.2,1.02,pic_significatif,17,"Parisiennes, Parisiens, rejoignez-nous !Snap | « Rachida Dati fait une campagne avec les codes de l’extrême droite » 🗞️ à lire sur @mariannelemagSnap | Je propose aux écologistes une large union pour gagner à Paris 🗞️ Nous avons besoin de retrouver de l'espoir à gauche, et de mettre de côté nos bisbilles. C'est un pacte de gouvernance partagée ",2960
david_belliard,D. Belliard (EELV),instagram,2025-W52,2025-12-22,0.026022,2.18,2.18,0.79,pic_significatif,6,"J’appelle l’État à déclencher de façon immédiate le Plan grand froid dans la capitale, et demande la réquisition des logements vides depuis plus de 5 ans !Snap | Il fait très froid à Paris, et des milliers de gens dorment dehors. Qu’attend la @prefpolice pour déclencher le plan grand froid dans la capitale ? Pour mettre à disposition des lieux chauffés, p | Maintiens appuyé et fais défiler pour transformer la rue Charles Baudelaire dans le 12e, d’une rue pleine de voiture en une splendide rue aux écoles. Avec des arbres fruitiers en bonus !Snap",2616
emmanuel_gregoire,E. Grégoire (PS),instagram,2025-W20,2025-05-12,0.008452,2.25,-0.24,2.25,pic_significatif,9,"Invitée de France Inter, Rachida Dati a enchaîné les mensonges pour tenter de justifier son projet de réforme de l’audiovisuel public.Madame la ministre, quand allez-vous retirer cette réforme ab | J’ai signé l’initiative citoyenne européenne coordonnée par @act_lgbt contre les thérapies de conversion. Soyons toutes et tous mobilisé•es, aux côtés des personnes LGBTQIA+ qui sont forcées de subir  | Figure du socialisme, Premier ministre de 1997 à 2002, et toujours militant du 18e arrondissement, Lionel Jospin est l’homme pour lequel, en 2001, je me suis engagé pour la première fois au P",4048
emmanuel_gregoire,E. Grégoire (PS),instagram,2025-W43,2025-10-21,0.023333,2.4,1.89,2.4,pic_significatif,4,"Emmanuel Grégoire en tête des intentions de vote, à 22 % ! 🔥 Face à la droite, la gauche unie !👉 L’article du Parisien en story ! | Mon Paris, c’est un Paris pour toutes et tous. Rachida Dati, c’est la ville pour quelques-uns, uniquement les plus privilégiés.La gauche à Paris, c’est un investissement massif dans le logement soc | La France ne peut plus laisser une poignée d’acteurs concentrer le pouvoir d’information.J’ai déposé une proposition de loi pour réarmer l’État républicain avec deux objectifs : créer un cadre ",2058
emmanuel_gregoire,E. Grégoire (PS),instagram,2026-W02,2026-01-05,0.027897,2.54,2.54,2.02,pic_significatif,15,"🚀 En hausse !Avec la gauche unie pour Paris, nous sommes donnés en tête au premier tour, avec 33 % d’intentions de vote selon l’institut ELABE !Demain, il n’y aura qu’un choix : celui de la gauche r | ✨ Regardez jusqu’à la fin… On fête ça au meeting mercredi prochain !Snap | Et maintenant gagnons Paris ensemble !",11871
emmanuel_gregoire,E. Grégoire (PS),instagram,2026-W05,2026-01-26,0.02746,2.48,2.48,1.18,pic_significatif,19,"C’est pas juste le kebab qui a augmenté, c’est toute la vie : les courses, le loyer, les factures d’électricité.Pour lutter contre ça et redonner le pouvoir de vivre à Paris à toutes celles et t | La liste de l’union de la gauche et des écologistes pour Paris est à vous !Retrouvez les candidates et les candidats de tous vos arrondissements. On se retrouve très vite dans les rues de Paris ! 😉Sna | Nous ouvrirons le droit de vote aux étrangers vivant à Paris à toutes les votations locales. Paris est, et doit rester un refuge et un idéal démocratique où chacune et chacun peut exprimer",7900
ian_brossat,I. Brossat (PCF),instagram,2025-W17,2025-04-21,0.013102,2.22,-0.38,2.22,pic_significatif,5,"En Israël aussi, des citoyens se lèvent pour dire stop à la politique meurtrière de Netanyahou. J’ai eu la chance immense de rencontrer Itamar Avneri de l’association Standing Together qui regroup | Pensées pour Aboubakar lâchement assassiné à La Grande-Combe, ses proches et la communauté musulmane endeuillée.L’auteur de cet acte abject doit être retrouvé et lourdement condamné. | L’héritage architectural de la droite à Paris ?Un tunnel hideux des années 90 qui ne sert plus à rien si ce n’est à gâcher le paysage.Dans le cadre de la reconquête des voies sur berges XXL, no",9727
ian_brossat,I. Brossat (PCF),instagram,2025-W23,2025-06-02,0.018177,2.03,-0.07,2.03,pic_significatif,14,"La droite parisienne traite d’antisémites des élus qui s’indignent du génocide en cours en Gaza. Honte absolue. Qu’ils assument : ils approuvent le massacre en cours, les bombardements de civils et | L’assassinat d’Hichem dans le Var ne vient pas de nulle part. Il est le fruit d’une banalisation effroyable de la parole raciste. À la manœuvre, une élite économique, financière et politique qui m | 🇧🇷🤝🇫🇷Quel plaisir d’avoir rencontré le Président brésilien @lulaoficial cet après-midi à Paris.Son abnégation et sa résistance face à l’extrême droite sont un modèle.Vive le Brésil de",13914
ian_brossat,I. Brossat (PCF),instagram,2025-W28,2025-07-07,0.031992,2.21,0.75,2.21,pic_significatif,9,"Ayman Odeh, député communiste à la Knesset, fait l’objet d’une procédure de destitution. Son crime : avoir dit la vérité sur le génocide en cours à Gaza. Mon message de soutien (en hébreu). | Madame Dati perd... son bras droit. Le Conseil constitutionnel vient d’annuler l’élection de Jean Laussucq dans la deuxième circonscription de Paris.M. Laussucq est donc démis de ses fonctions et d | Face au sénateur du 16ème.Ma plus grande fierté : avoir installé un centre pour sans abris dans votre arrondissement malgré deux tentatives d’incendie et les oppositions forcenées des élus ",16857
ian_brossat,I. Brossat (PCF),instagram,2025-W29,2025-07-14,0.052679,2.15,1.98,2.15,pic_significatif,12,"Jean-Marc Sylvestre a tenté de salir le travail de la commission d’enquête sénatoriale qui a dévoilé que 211 milliards d’aides publiques étaient versés aux entreprises sans contrepartie chaque  | Le premier propagateur de l’antisémitisme en France, c’est l’extrême-droite ! | 🍉🇵🇸",28100
ian_brossat,I. Brossat (PCF),instagram,2025-W30,2025-07-21,0.095395,4.53,4.53,2.16,pic_viral,5,"Un journaliste salit la mémoire de mon grand-père : ma réponse.(Bonne fête des grands-parents à toutes et à tous) | « La France des honnêtes gens » | La semaine passée, Rome, seule ville jumelée avec Paris, procédait à l’extinction de la fontaine de Trevi en soutien au peuple palestinien. En éteignant la Tour Eiffel, en décernant la citoyenne",29913
ian_brossat,I. Brossat (PCF),instagram,2025-W43,2025-10-20,0.078148,3.5,3.5,2.28,pic_viral,10,"Marche également pour justifier vos retards, votre découvert bancaire ou l’oubli de l’anniversaire d’un de vos proches. | Dans n’importe quel pays, un ministre de tutelle confronté à un fiasco tel que celui du cambriolage du Louvre, aurait déjà donné sa démission.Mais en France, Madame Dati continue à faire comme  | « Quand on se la coltine [Rachida Dati], en Conseil de Paris, qu'on entend ce qu'elle dit, c'est purement réactionnaire, et les pires des réactionnaires. »🎙️ @ianbrossatsenateur, sénateur PCF et co-pr",19234
